Macro time on ka.upc.edu: 11/05/2013 20:17:51; Problema ID: 1422; Temps total: 4.6546261310577;
Macro time on ka.upc.edu: 11/05/2013 20:21:38; Problema ID: 1422; Temps total: 5.3490359783173;
Macro time on ka.upc.edu: 11/05/2013 20:21:45; Problema ID: 1422; Temps total: 1.2829802036285;
Macro time on ka.upc.edu: 11/05/2013 21:52:41; Problema ID: 1281; Temps total: 5.2205691337585;
Macro time on ka.upc.edu: 11/05/2013 22:00:39; Problema ID: 1198; Temps total: 2.6390199661255;
Macro time on ka.upc.edu: 11/05/2013 23:02:54; Problema ID: 1433; Temps total: 4.839812040329;
Macro time on ka.upc.edu: 11/05/2013 23:08:05; Problema ID: 1262; Temps total: 3.0864319801331;
Macro time on ka.upc.edu: 11/05/2013 23:12:56; Problema ID: 1433; Temps total: 4.9103908538818;
Macro time on ka.upc.edu: 11/05/2013 23:54:17; Problema ID: 1198; Temps total: 3.1374480724335;
Macro time on ka.upc.edu: 11/05/2013 23:55:11; Problema ID: 1198; Temps total: 1.8786768913269;
Macro time on ka.upc.edu: 12/05/2013 2:26:31; Problema ID: 1204; Temps total: 4.3845269680023;
Macro time on ka.upc.edu: 12/05/2013 5:36:42; Problema ID: 1401; Temps total: 2.5571219921112;
Macro time on ka.upc.edu: 12/05/2013 5:55:25; Problema ID: 1401; Temps total: 2.2343921661377;
Macro time on ka.upc.edu: 12/05/2013 6:06:02; Problema ID: 1401; Temps total: 2.4220390319824;
Macro time on ka.upc.edu: 12/05/2013 6:11:23; Problema ID: 1401; Temps total: 2.7816350460052;
Macro time on ka.upc.edu: 12/05/2013 6:33:04; Problema ID: 1397; Temps total: 2.790431022644;
Macro time on ka.upc.edu: 12/05/2013 7:01:39; Problema ID: 1255; Temps total: 3.3519129753113;
Macro time on ka.upc.edu: 12/05/2013 7:26:12; Problema ID: 1247; Temps total: 3.5003850460052;
Macro time on ka.upc.edu: 12/05/2013 7:26:14; Problema ID: 1247; Temps total: 2.0139191150665;
Macro time on ka.upc.edu: 12/05/2013 7:27:36; Problema ID: 1247; Temps total: 1.9327030181885;
Macro time on ka.upc.edu: 12/05/2013 7:27:52; Problema ID: 1247; Temps total: 3.5776631832123;
Macro time on ka.upc.edu: 12/05/2013 8:09:03; Problema ID: 1247; Temps total: 3.9651288986206;
Macro time on ka.upc.edu: 12/05/2013 8:23:53; Problema ID: 1252; Temps total: 4.5369379520416;
Macro time on ka.upc.edu: 12/05/2013 8:24:30; Problema ID: 1252; Temps total: 2.5628108978271;
Macro time on ka.upc.edu: 12/05/2013 8:41:55; Problema ID: 1252; Temps total: 2.364944934845;
Macro time on ka.upc.edu: 12/05/2013 8:52:42; Problema ID: 1252; Temps total: 4.3144879341125;
Macro time on ka.upc.edu: 12/05/2013 10:19:51; Problema ID: 1433; Temps total: 5.0255808830261;
Macro time on ka.upc.edu: 12/05/2013 10:34:51; Problema ID: 1431; Temps total: 3.3248951435089;
Macro time on ka.upc.edu: 12/05/2013 10:49:40; Problema ID: 1431; Temps total: 2.7979440689087;
Macro time on ka.upc.edu: 12/05/2013 10:51:42; Problema ID: 1431; Temps total: 3.0225539207458;
Macro time on ka.upc.edu: 12/05/2013 10:52:48; Problema ID: 1431; Temps total: 2.1513109207153;
Macro time on ka.upc.edu: 12/05/2013 11:04:37; Problema ID: 1431; Temps total: 3.4115540981293;
Macro time on ka.upc.edu: 12/05/2013 11:20:11; Problema ID: 1397; Temps total: 3.2837481498718;
Macro time on ka.upc.edu: 12/05/2013 11:21:25; Problema ID: 1431; Temps total: 2.7284708023071;
Macro time on ka.upc.edu: 12/05/2013 11:22:49; Problema ID: 1431; Temps total: 3.315976858139;
Macro time on ka.upc.edu: 12/05/2013 11:28:20; Problema ID: 1431; Temps total: 3.8621668815613;
Macro time on ka.upc.edu: 12/05/2013 11:32:29; Problema ID: 1431; Temps total: 3.7770428657532;
Macro time on ka.upc.edu: 12/05/2013 11:36:41; Problema ID: 1431; Temps total: 3.6691529750824;
Macro time on ka.upc.edu: 12/05/2013 11:41:09; Problema ID: 1397; Temps total: 3.2858271598816;
Macro time on ka.upc.edu: 12/05/2013 11:41:12; Problema ID: 1431; Temps total: 3.1767981052399;
Macro time on ka.upc.edu: 12/05/2013 11:41:35; Problema ID: 1431; Temps total: 2.2845549583435;
Macro time on ka.upc.edu: 12/05/2013 11:45:37; Problema ID: 1431; Temps total: 3.7636919021606;
Macro time on ka.upc.edu: 12/05/2013 11:48:13; Problema ID: 1397; Temps total: 3.3933689594269;
Macro time on ka.upc.edu: 12/05/2013 12:15:00; Problema ID: 1318; Temps total: 6.7463350296021;
Macro time on ka.upc.edu: 12/05/2013 12:23:08; Problema ID: 1318; Temps total: 4.2025101184845;
Macro time on ka.upc.edu: 12/05/2013 12:45:44; Problema ID: 1436; Temps total: 5.2204208374023;
Macro time on ka.upc.edu: 12/05/2013 12:49:56; Problema ID: 1318; Temps total: 4.3015050888062;
Macro time on ka.upc.edu: 12/05/2013 12:52:54; Problema ID: 1425; Temps total: 3.3624918460846;
Macro time on ka.upc.edu: 12/05/2013 12:53:02; Problema ID: 1306; Temps total: 6.0300049781799;
Macro time on ka.upc.edu: 12/05/2013 12:57:56; Problema ID: 1318; Temps total: 6.6421990394592;
Macro time on ka.upc.edu: 12/05/2013 13:00:12; Problema ID: 1306; Temps total: 2.8577449321747;
Macro time on ka.upc.edu: 12/05/2013 13:10:07; Problema ID: 1318; Temps total: 4.4865880012512;
Macro time on ka.upc.edu: 12/05/2013 13:10:40; Problema ID: 1306; Temps total: 3.2742230892181;
Macro time on ka.upc.edu: 12/05/2013 13:11:42; Problema ID: 1306; Temps total: 2.7155730724335;
Macro time on ka.upc.edu: 12/05/2013 13:12:21; Problema ID: 1306; Temps total: 3.1843619346619;
Macro time on ka.upc.edu: 12/05/2013 13:12:42; Problema ID: 1444; Temps total: 5.1209218502045;
Macro time on ka.upc.edu: 12/05/2013 13:14:22; Problema ID: 1318; Temps total: 4.5850610733032;
Macro time on ka.upc.edu: 12/05/2013 13:14:56; Problema ID: 1318; Temps total: 4.1859381198883;
Macro time on ka.upc.edu: 12/05/2013 13:22:49; Problema ID: 1316; Temps total: 7.5012431144714;
Macro time on ka.upc.edu: 12/05/2013 13:26:43; Problema ID: 1422; Temps total: 5.5783998966217;
Macro time on ka.upc.edu: 12/05/2013 13:27:06; Problema ID: 1431; Temps total: 4.4199478626251;
Macro time on ka.upc.edu: 12/05/2013 13:32:12; Problema ID: 1316; Temps total: 3.5349130630493;
Macro time on ka.upc.edu: 12/05/2013 13:33:06; Problema ID: 1431; Temps total: 5.5013189315796;
Macro time on ka.upc.edu: 12/05/2013 13:34:45; Problema ID: 1316; Temps total: 3.8950140476227;
Macro time on ka.upc.edu: 12/05/2013 13:37:07; Problema ID: 1422; Temps total: 2.7333450317383;
Macro time on ka.upc.edu: 12/05/2013 13:47:27; Problema ID: 1431; Temps total: 4.4152321815491;
Macro time on ka.upc.edu: 12/05/2013 13:47:44; Problema ID: 1431; Temps total: 1.8810131549835;
Macro time on ka.upc.edu: 12/05/2013 13:47:53; Problema ID: 1431; Temps total: 1.7566931247711;
Macro time on ka.upc.edu: 12/05/2013 13:53:05; Problema ID: 1431; Temps total: 4.8592920303345;
Macro time on ka.upc.edu: 12/05/2013 14:01:57; Problema ID: 1436; Temps total: 4.8813688755035;
Macro time on ka.upc.edu: 12/05/2013 14:05:31; Problema ID: 1436; Temps total: 4.926687002182;
